"line","song_lyrics_url","song_name","artist_name"
"We know a lot 'bout each other, her mother was a crack addict","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"She live with her granny and her younger two brothers","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Her favorite cousin Demetrius's irrepetible","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Family history of gang bangin' did make me skeptical","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"But not enough to stop me from gettin' a nut","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"""I wanna come over, what's up?""","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"That's what I told her soon as this episode","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Of Martin go off, I'm tryin' to get off","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I was in heat like a cactus, my tactics of bein' thirsty","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Probably could hurt me, but fuck it, I got some heart","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Grab my momma's keys, hopped in the car, then oh boy","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"So now I'm down Rosecrans in a Caravan","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Passin' Alameda, my gas meter in need of a pump","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I got enough to get me through the traffic jam","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"At least I hope 'cause my pockets broke as a promise, man","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I'm thinkin' about that sex, thinkin' about her thighs","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Or maybe kissin' on her neck, or maybe what position's next","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Sent a picture of her titties blowin' up my texts","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I looked at 'em and almost ran my front bumper into Corvette","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Enthused by the touch of a woman, she's a masseuse","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"And I'm a professional porn star when off the Goose","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I had a fifth in the trunk like Curtis Jackson for ransom","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I'm hopin' to get her loose like an Uncle Luke Anthem","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I'm two blocks away, 250 feet","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"And six steps from where she stay, she wavin' me 'cross the street","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I pulled up, a smile on my face, and then I see","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Two niggas, two black hoodies, I froze as my phone rang","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Please leave your message for 323-","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Record your message after the tone","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Kendrick, where you at?","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Damn! I'm sittin' here waitin' on my van","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"You told me you was gon' be back in fifteen minutes!","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I gotta go to the county buildin', man","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"These kids ready to eat! I’m ready to eat, shit","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I gotta get them food stamps, come on now","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"You on you way or what?","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I hope you ain’t out there messin' with them damn hood-rats out there, shit, especially that crazy-ass girl Sherane","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Plus you got school tomorrow","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"You keep fuckin' around in them streets, you ain’t gon' pass to the next grade, 11th grade","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
